time,tx,cpu_util
1587468409177,20456,94.925138
1587468410178,20619,95.568731
1587468411189,18167,96.906095
1587468412201,18633,94.920585
1587468413203,20773,94.676508
1587468414222,20310,95.957213
1587468415223,18525,96.496465
1587468416225,17995,95.365535
1587468417433,23789,95.484756
1587468418920,28347,94.785916
1587468420206,24370,93.731296
1587468421209,20537,93.880433
1587468422210,20254,95.567043
1587468423212,18121,95.376176
1587468424212,18077,94.344634
1587468425215,20577,94.358894
1587468426217,19656,94.963241
1587468427220,17690,95.563568
1587468428221,17822,94.956265
1587468429608,26363,94.573034
1587468431007,26408,93.913180
1587468432010,20997,94.681683
1587468433015,19748,96.618660
1587468434016,17812,94.638112
1587468435018,19746,93.862533
1587468436019,20204,96.166536
1587468437021,18230,96.888889
1587468438044,18546,93.462621
1587468439046,20871,94.981179
1587468440049,19070,95.697912
1587468441050,17142,94.796416
1587468442052,20393,94.663318
1587468443054,20436,95.746677
1587468444057,17024,95.224653
1587468445393,25306,93.958789
1587468446395,20398,94.980453
1587468447402,20054,95.036909
1587468448403,16249,94.269116
1587468449404,20233,94.368413
1587468450407,20669,95.391345
1587468451410,16722,95.314948
1587468452411,20454,93.962264
1587468453413,20481,95.289515
1587468454413,16091,95.196805
1587468455792,26664,94.817622
1587468457450,31772,93.768592
1587468458455,21295,95.134543
1587468459457,18624,95.938851
1587468460475,18128,93.533123
1587468462133,31680,93.535227
1587468463137,20897,95.394737
1587468464138,18939,96.415621
1587468465262,19940,93.326022
1587468466264,21177,95.380264
1587468467265,19074,96.720287
1587468468267,17741,94.022338
1587468469269,20859,95.129566
1587468470273,18696,96.978710
1587468471276,18081,92.667609
1587468472278,21466,95.994345
1587468473279,17142,94.202671
1587468474281,19919,94.560276
1587468475283,19688,96.566860
1587468476293,16996,93.822333
1587468477294,21139,95.168627
1587468478295,19052,95.969260
1587468479298,18255,93.541765
1587468480301,21554,96.440837
1587468481302,15994,94.971699
1587468482494,23765,94.170333
1587468483496,20534,97.258994
1587468484500,17215,93.653543
1587468486107,30292,93.268015
1587468487114,21050,95.771770
1587468488116,17699,95.914880
1587468489123,19214,93.814757
1587468490131,20716,96.173071
1587468491142,16043,95.159398
1587468492751,30341,93.740195
1587468493754,21433,96.569011
1587468494757,18192,95.303173
1587468495760,19386,93.047035
1587468496761,19764,95.848939
1587468497944,19713,92.768237
1587468498948,21995,95.654902
1587468499953,17276,94.104769
1587468500965,20275,95.199247
1587468501966,19514,96.425816
1587468503188,21138,92.871722
1587468504193,21284,95.635793
1587468505195,16970,95.114672
1587468506197,19406,71.695154
1587468507202,10848,94.238942
1587468508203,17989,94.146189
1587468509207,19142,94.780695
1587468510209,19412,93.733312
1587468511214,20752,95.342983
1587468512217,16675,92.917847
1587468513219,23185,97.156250
1587468514221,14731,92.827933
1587468515221,23346,96.592539
1587468516537,22482,92.886243
1587468517538,23485,96.579369
1587468518830,22454,93.120277
1587468519831,22310,95.553111
1587468520834,19282,95.342638
1587468521835,18974,93.090966
1587468522836,22237,97.633873
1587468523838,15812,92.793076
1587468524839,23399,96.191005
1587468526258,24594,92.492492
1587468527260,22846,95.748353
1587468528264,19257,95.538800
1587468529265,19471,93.275727
1587468530268,22699,98.045042
1587468531270,15843,92.400881
1587468532271,22718,95.570114
1587468533276,19056,95.884004
1587468534281,18977,92.400063
1587468535283,23251,97.383598
1587468536396,17795,92.047431
1587468537397,22415,95.191103
1587468538399,19143,95.947426
1587468539401,18592,92.720971
1587468540401,23055,97.930386
1587468541405,15722,93.401095
1587468542407,22131,96.213910
1587468544142,31853,92.483095
1587468545143,23450,95.775309
1587468546148,18815,94.727812
1587468547152,19705,93.494657
1587468548153,20393,95.082482
1587468549154,16824,95.224301
1587468551057,35535,92.550684
1587468552061,22801,96.270177
1587468553361,21952,91.991819
1587468554363,22774,96.161078
1587468555365,16542,93.852459
1587468556370,20135,95.373430
