time,tx
1585069417733,7088
1585069418733,4656
1585069419733,5530
1585069420733,6228
1585069421734,7798
1585069422733,7768
1585069423732,7743
1585069424732,7754
1585069425734,7775
1585069426733,7787
1585069427733,7791
1585069428732,7799
1585069429733,7716
1585069430735,7818
1585069431733,6134
1585069432733,5576
1585069433737,6291
1585069434733,7702
1585069435734,7814
1585069436734,7805
1585069437732,7817
1585069438733,7801
1585069439733,7755
1585069440732,7739
1585069441733,7791
1585069442734,7835
1585069443732,7794
1585069444733,6584
1585069445733,5546
1585069446733,5664
1585069447735,7735
1585069448732,7775
1585069449733,7753
1585069450735,7825
1585069451734,7770
1585069452732,7768
1585069453732,7811
1585069454736,7780
1585069455736,7788
1585069456733,7791
1585069457734,7822
1585069458735,5672
1585069459732,5133
1585069460736,6897
1585069461732,7445
1585069462733,7495
1585069463733,7493
1585069464733,7460
1585069465732,7500
1585069466734,7487
1585069467732,7465
1585069468733,7505
1585069469735,7483
1585069470735,7443
1585069471732,5289
1585069472736,4385
1585069473732,4073
1585069474735,7892
1585069475734,7909
1585069476733,7892
1585069477733,7915
1585069478734,7900
1585069479732,7841
1585069480733,7938
1585069481733,7899
1585069482736,7902
1585069483732,7882
1585069484733,5813
1585069485732,5483
1585069486735,6385
1585069487732,7883
1585069488732,7890
1585069489732,7842
1585069490732,7896
1585069491732,7897
1585069492732,7887
1585069493732,7891
1585069494736,7882
1585069495732,7874
1585069496735,7922
1585069497733,7165
1585069498732,5685
1585069499733,5638
1585069500732,6902
1585069501733,7900
1585069502735,7912
1585069503732,7875
1585069504732,7848
1585069505732,7889
1585069506733,7882
1585069507732,7867
1585069508733,7905
1585069509734,7837
1585069510732,7875
1585069511732,7518
1585069512732,5696
1585069513732,5698
1585069514735,6034
1585069515733,6935
1585069516732,7822
1585069517732,7880
1585069518732,7885
1585069519733,7834
1585069520732,7876
1585069521733,7862
1585069522733,7863
1585069523733,7849
1585069524732,7825
1585069525733,7879
1585069526732,7873
1585069527735,6424
1585069528732,5716
1585069529733,5445
1585069530732,6994
1585069531733,7867
1585069532732,7874
1585069533732,7888
1585069534732,7831
1585069535733,7880
1585069536734,7874
1585069537732,7855
1585069538733,7882
1585069539734,7835
1585069540735,7888
1585069541732,7848
1585069542734,6228
1585069543732,5596
1585069544732,5823
1585069545732,6886
